nov.40	-1.8
dic.40	-3.6
ene.41	0
feb.41	1.8
mar.41	2.7
abr.41	1.8
may.41	3.5
jun.41	1.7
jul.41	0.8
ago.41	1.6
sept.41	4.8
oct.41	1.5
nov.41	-0.8
dic.41	1.5
ene.42	0.8
feb.42	2.2
mar.42	4.3
abr.42	4.2
may.42	2
jun.42	-0.7
jul.42	0.7
ago.42	3.3
sept.42	1.9
oct.42	3.5
nov.42	0
dic.42	0.8
ene.43	-1.7
feb.43	1.8
mar.43	1.2
abr.43	4.2
may.43	2.3
jun.43	1.7
jul.43	-1.1
ago.43	0
sept.43	1.1
oct.43	0.5
nov.43	-0.5
dic.43	-1.6
ene.44	1.7
feb.44	-1.1
mar.44	1.7
abr.44	3.8
may.44	2.6
jun.44	-1
jul.44	0.5
ago.44	2.6
sept.44	5
oct.44	4.2
nov.44	0
dic.44	-5.5
ene.45	-0.5
feb.45	0.5
mar.45	1
abr.45	1
may.45	0.5
jun.45	0.9
jul.45	0
ago.45	0.9
sept.45	4.1
oct.45	3.1
nov.45	-5.2
dic.45	1.4
ene.46	1.4
feb.46	-0.9
mar.46	0.9
abr.46	2.2
may.46	2.2
jun.46	3.4
jul.46	1.6
ago.46	3.2
sept.46	4.7
oct.46	3
nov.46	0.7
dic.46	4.3
ene.47	5.2
feb.47	-0.7
mar.47	4.6
abr.47	1.9
may.47	2.8
jun.47	0.3
jul.47	1.8
ago.47	2.3
sept.47	1.2
oct.47	-0.6
nov.47	2
dic.47	0.3
ene.48	0.8
feb.48	2.2
mar.48	2.2
abr.48	1.6
may.48	0.3
jun.48	0.8
jul.48	2.6
ago.48	2.8
sept.48	3.2
oct.48	0
nov.48	-0.7
dic.48	0
ene.49	2.4
feb.49	0.7
mar.49	1.4
abr.49	4.8
may.49	1.1
jun.49	1.3
jul.49	0.2
ago.49	2.1
sept.49	0.4
oct.49	3.9
nov.49	1
dic.49	-0.4
ene.50	0
feb.50	-1.2
mar.50	1.8
abr.50	1.2
may.50	1.2
jun.50	1.7
jul.50	1.9
ago.50	1.3
sept.50	0.5
oct.50	10.2
nov.50	-2.1
dic.50	-0.7
ene.51	-0.2
feb.51	2.2
mar.51	0.8
abr.51	0.7
may.51	2.5
jun.51	2.1
jul.51	3.1
ago.51	5.2
sept.51	6.1
oct.51	1.6
nov.51	-3.2
dic.51	0.6
ene.52	0.3
feb.52	0.7
mar.52	1.9
abr.52	2.3
may.52	5.5
jun.52	0.8
jul.52	2.7
ago.52	1.1
sept.52	3.5
oct.52	0.7
nov.52	-1
dic.52	-6.5
ene.53	4.5
feb.53	0.8
mar.53	0.4
abr.53	1.3
may.53	2.2
jun.53	3.3
jul.53	7.2
ago.53	6.5
sept.53	9.1
oct.53	5.5
nov.53	4.2
dic.53	0.9
ene.54	4.6
feb.54	1.5
mar.54	7.4
abr.54	7.6
may.54	3.3
jun.54	4.2
jul.54	4.7
ago.54	8.5
sept.54	3.2
oct.54	4.4
nov.54	3.6
dic.54	2.3
ene.55	3.4
feb.55	4.5
mar.55	6.4
abr.55	8.9
may.55	4.7
jun.55	4.6
jul.55	2.2
ago.55	3.9
sept.55	7.7
oct.55	6
